Multi-Pedestrian Tracking Based on KC-YOLO Detection and Identity Validity Discrimination Module,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001119917800001,[],2023,JCR 二区,"Li Jingwen, Guilin University of Technology","Wu Wei, Guilin University of Technology","Zhang Dan, ","Fan Dayong, ","Jiang Jianwu, Guilin University of Technology","Lu Yanling, Guilin University of Technology","Gao Ertao, Guilin University of Technology","Yue Tao, Guilin University of Technology"
Towards Large-Scale Small Object Detection: Survey and Benchmarks,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001085050900039,[],2023,JCR 一区,"Cheng Gong, Northwestern Polytechnical University","Yuan Xiang, Northwestern Polytechnical University","Yao Xiwen, Northwestern Polytechnical University","Yan Kebing, Northwestern Polytechnical University","Zeng Qinghua, Northwestern Polytechnical University","Xie Xingxing, Northwestern Polytechnical University","Han Junwei, Northwestern Polytechnical University",""
GSDerainNet: A Deep Network Architecture Based on a Gaussian Shannon Filter for Single Image Deraining,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001086033200001,REMOTE SENSING,2023,JCR 二区,"Yao Yanji, ","Shi Zhimin, ","Hu Huiwen, ","Li Jing, Yunnan Agricultural University","Wang Guocheng, ","Liu Lintao, ","",""
Progressive dilation dense residual fusion network for single-image deraining,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001067623400001,IET IMAGE PROCESSING,2023,JCR 三区,"Kong Xiaolin, Chang'an University","Gao Tao, Chang'an University","Chen Ting, Chang'an University","Zhang Jing, Australian National University","","","",""
Vehicle detection in diverse traffic using an ensemble convolutional neural backbone via feature concatenation,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001061893700001,"","","","","","","","","","",""
Select Informative Samples for Night-Time Vehicle Detection Benchmark in Urban Scenes,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001065131600001,REMOTE SENSING,2023,JCR 二区,"Wang Xiao, Wuhan University of Science & Technology","Tu Xingyue, Wuhan University of Science & Technology","Al-Hassani Baraa, Wuhan University of Science & Technology","Lin Chia-Wen, National Tsing Hua University","Xu Xin, Wuhan University of Science & Technology","","",""
Traffic Noise Assessment Using Intelligent Acoustic Sensors (Traffic Ear) and Vehicle Telematics Data,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001046454600001,[],2023,JCR 二区,"Ghaffarpasand Omid, University of Birmingham","Almojarkesh Anwar, ","Morris Sophie, ","Stephens Elizabeth, ","Chalabi Alaa, ","Almojarkesh Usamah, ","Almojarkesh Zenah, ","Pope Francis D. D., University of Birmingham"
Deep Learning Techniques for Vehicle Detection and Classification from Images/Videos: A Survey,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000996780700001,SENSORS,2023,JCR 二区,"Berwo Michael Abebe, Chang'an University","Khan Asad, Guangzhou University","Fang Yong, Chang'an University","Fahim Hamza, Tongji University","Javaid Shumaila, Tongji University","Mahmood Jabar, Chang'an University","Abideen Zain Ul, Jiangsu University","Syam M. S., Shenzhen University"
Adaptive single image defogging based on sky segmentation,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000984294600003,[],2023,JCR 二区,"Wang Wenke, North University of China","Hu Hongping, North University of China","Cao Shengfang, North University of China","Song Na, North University of China","","","",""
LF-YOLO: A Lighter and Faster YOLO for Weld Defect Detection of X-Ray Image,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001011420400106,IEEE SENSORS JOURNAL,2023,JCR 一区,"Liu Moyun, Huazhong University of Science & Technology","Chen Youping, Huazhong University of Science & Technology","Xie Jingming, Huazhong University of Science & Technology","He Lei, Huazhong University of Science & Technology","Zhang Yang, Hubei University of Technology","","",""
