Make static person walk again via separating pose action from shape,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001264973900001,GRAPHICAL MODELS,2024,JCR 二区,"聂勇伟,华南理工大学","赵美华,华南理工大学","张青,中山大学","Li Ping, Hong Kong Polytechnic University","朱健,广东工业大学","蔡红民,华南理工大学"
A benchmark dataset and baseline model for co-salient object detection within RGB-D images,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000804560500005,MULTIMEDIA TOOLS AND APPLICATIONS,2022,JCR 二区,"杨宁,北京交通大学","张晨,北京交通大学","张宇墨,北京交通大学","杨浩伟,北京交通大学","杜凌,天津工业大学"
Object Wake-Up: 3D Object Rigging from a Single Image,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000899248700018,"COMPUTER VISION - ECCV 2022, PT II",2023,JCR 四区,"Yang Ji, University of Alberta","Zuo Xinxin, University of Alberta","Wang Sen, University of Alberta","需要提供作者所在学校的英文名称,才能判断作者是国内还是国外的","Li Xingyu, University of Alberta","Ni Bingbing, Huawei Technologies","Gong Minglun, University of Guelph","Cheng Li, University of Alberta"
Animation Generation Technology Based on Deep Learning: Opportunities and Challenges,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000886348700026,"ARTIFICIAL INTELLIGENCE AND SECURITY, ICAIS 2022, PT I",2022,JCR 四区,"王尊福,湖南大学","刘芳,湖南大学","Zhang Xue, Nissan Technol Ctr"
Video Snapshot: Single Image Motion Expansion via Invertible Motion Embedding,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000714203900025,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2021,JCR 一区,"朱前树,华南理工大学","韩楚,南方医科大学","韩国强,华南理工大学","Wong Tien-Tsin, Chinese University of Hong Kong","何盛烽,华南理工大学"
Endless Loops: Detecting and Animating Periodic Patterns in Still Images,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000674930900107,ACM TRANSACTIONS ON GRAPHICS,2021,JCR 一区,"Halperin Tavi, Lightricks","Hakim Hanit, Lightricks","Vantzos Orestis, Lightricks","Hochman Gershon, Lightricks","Benaim Netai, Lightricks","Sassy Lior, Lightricks","Kupchik Michael, Lightricks","Bibi Ofir, Lightricks"
A New Method and Benchmark for Detecting Co-Saliency Within a Single Image,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000591817700003,IEEE TRANSACTIONS ON MULTIMEDIA,2021,JCR 一区,"Yu Hongkai, University System of Ohio","Zheng Kang, University of South Carolina System","方建武,长安大学","Guo Hao, University of South Carolina System","Wang Song, University of South Carolina System"
An easy-to-hard learning strategy for within-image co-saliency detection,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000470106400014,NEUROCOMPUTING,2019,JCR 一区,"宋少岳,北京交通大学","Yu Hongkai, University of Texas System","缪震江,北京交通大学","Guo Dazhou, University of South Carolina System","Ke Wei, Carnegie Mellon University","马聪,北京交通大学","Wang Song, University of South Carolina System"
Image-based authoring of herd animations,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000473082400026,COMPUTER ANIMATION AND VIRTUAL WORLDS,2019,JCR 四区,"Ecormier-Nocca Pierre, Centre National de la Recherche Scientifique (CNRS)","Pettre Julien, Universite de Lorraine","Memari Pooran, Centre National de la Recherche Scientifique (CNRS)","Cani Marie-Paule, Centre National de la Recherche Scientifique (CNRS)"
End-to-End Time-Lapse Video Synthesis from a Single Outdoor Image,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000529484001057,2019 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2019),2020,JCR 一区,"Nam Seonghyeon, Yonsei University","Ma Chongyang, Snap Inc","Chai Menglei, Snap Inc","Brendel William, Snap Inc","Xu Ning, Amazon Go","Kim Seon Joo, Yonsei University"
BASED ON SUPER-PIXELS TO SIMULATE WATER RIPPLES FROM A SINGLE IMAGE,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000936421900233,"2019 IEEE SMARTWORLD, UBIQUITOUS INTELLIGENCE & COMPUTING, ADVANCED & TRUSTED COMPUTING, SCALABLE COMPUTING & COMMUNICATIONS, CLOUD & BIG DATA COMPUTING, INTERNET OF PEOPLE AND SMART CITY INNOVATION (SMARTWORLD/SCALCOM/UIC/ATC/CBDCOM/IOP/SCI 2019)",2019,JCR 一区,"朱力,湖北民族大学","郑若君,湖北民族大学","李军,湖北民族大学","冉林,湖北民族大学","于亚,湖北民族大学","郭力,湖北民族大学","胡涛,湖北民族大学"
FashionOn: Semantic-guided Image-based Virtual Try-on with Detailed Human and Clothing Information,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000509743400032,PROCEEDINGS OF THE 27TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA (MM'19),2020,JCR 一区,"谢家玮,国立阳明交通大学","陈杰云,阳明交通大学","周建龍,國立陽明交通大學","Shuai Hong-Han, National Yang Ming Chiao Tung University","刘嘉莹,北京大学","陈文煌,国立阳明交通大学"
Drawing Similarity Measurement Using Object Alignment,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000617190300047,"2018 3RD INTERNATIONAL CONFERENCE ON COMMUNICATION, IMAGE AND SIGNAL PROCESSING",2019,JCR 一区,"Bustillos E., Adamson University","Barfeh D. Pour Yousefian, Adamson University"
Photo Wake-Up: 3D Character Animation from a Single Photo,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000529484006010,2019 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2019),2019,JCR 一区,"Weng Chung-Yi, University of Washington","Curless Brian, University of Washington","Kemelmacher-Shlizerman Ira, University of Washington"
SinGAN: Learning a Generative Model from a Single Natural Image,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000531438104072,2019 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2019),2019,JCR 一区,"Shaham Tamar Rott, Technion Israel Institute of Technology","Dekel Tali, Google Incorporated","Michaeli Tomer, Technion Israel Institute of Technology"
Exploiting Repetitions for Image-Based Rendering of Facades,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000439926200011,COMPUTER GRAPHICS FORUM,2018,JCR 二区,"Rodriguez Simon, Inria","Bousseau Adrien, Inria","Durand Fredo, Inria","Drettakis George, Inria"
Animating pictures of water scenes using video retrieval,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000425110900004,VISUAL COMPUTER,2018,JCR 二区,"Okabe Makoto, Shizuoka University","Dobashi Yoshinori, Hokkaido University","Anjyo Ken, OLM Digital Inc"
Co-Saliency Detection within a Single Image,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000485488907075,THIRTY-SECOND AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE / THIRTIETH INNOVATIVE APPLICATIONS OF ARTIFICIAL INTELLIGENCE CONFERENCE / EIGHTH AAAI SYMPOSIUM ON EDUCATIONAL ADVANCES IN ARTIFICIAL INTELLIGENCE,2018,JCR 一区,"Yu Hongkai, University of South Carolina System","Zheng Kang, University of South Carolina System","方建武,西安交通大学","Guo Hao, University of South Carolina System","冯伟,天津大学","王松,天津大学"
